Wildforge planetary water audit
surface hours: 0
groundwater days: 0
atmosphere: 356224169157 HU, 0 salt mass
soil: 65567751968 HU, 0 salt mass
snow/ice reserve: 2413703488 HU, 0 salt mass
groundwater: 694969114024 HU, 124120214934464 salt mass
runoff: 0 HU, 0 salt mass
coarse surface: 2423767171456 HU, 533141456741664 salt mass
voxel surface: 0 HU, 0 salt mass
pending exchanges: 0 HU, 0 salt mass
portable: 0 HU, 0 salt mass
industrial: 0 HU, 0 salt mass
precipitated salt: 0
expected water: 3542941910093 HU
current water: 3542941910093 HU
unexplained water delta: 0 HU
expected salt: 657261671676128
current salt: 657261671676128
unexplained salt delta: 0
basins:
  The World Ocean: level 64.000, coarse 2422510405664 HU, committed 0 HU, salinity 220
  Isun River: level 0.000, coarse 8033152 HU, committed 0 HU, salinity 13
  Isin River: level 0.000, coarse 342368 HU, committed 0 HU, salinity 16
  Coryr River: level 0.000, coarse 368064 HU, committed 0 HU, salinity 16
  Duna River: level 0.000, coarse 334880 HU, committed 0 HU, salinity 14
  Haria River: level 0.000, coarse 678560 HU, committed 0 HU, salinity 15
  Morith River: level 0.000, coarse 110464 HU, committed 0 HU, salinity 96
  Bareth River: level 0.000, coarse 337536 HU, committed 0 HU, salinity 16
  Alor River: level 0.000, coarse 360224 HU, committed 0 HU, salinity 16
  Barvale River: level 0.000, coarse 325504 HU, committed 0 HU, salinity 14
  Eshvale River: level 0.000, coarse 151648 HU, committed 0 HU, salinity 96
  Galin River: level 0.000, coarse 137504 HU, committed 0 HU, salinity 21
  Fenara River: level 0.000, coarse 321984 HU, committed 0 HU, salinity 17
  Galyr River: level 0.000, coarse 348640 HU, committed 0 HU, salinity 16
  Morain River: level 0.000, coarse 107488 HU, committed 0 HU, salinity 96
  Galvale River: level 0.000, coarse 317536 HU, committed 0 HU, salinity 14
  Morain River: level 0.000, coarse 641856 HU, committed 0 HU, salinity 16
  Morara River: level 0.000, coarse 122240 HU, committed 0 HU, salinity 66
  Dunora River: level 0.000, coarse 595520 HU, committed 0 HU, salinity 16
  Varen River: level 0.000, coarse 118912 HU, committed 0 HU, salinity 96
  Selia River: level 0.000, coarse 537632 HU, committed 0 HU, salinity 39
  Kelora River: level 0.000, coarse 633216 HU, committed 0 HU, salinity 16
  Eshora River: level 0.000, coarse 216416 HU, committed 0 HU, salinity 65
  Alesh River: level 0.000, coarse 1195232 HU, committed 0 HU, salinity 21
  Dunen River: level 0.000, coarse 255200 HU, committed 0 HU, salinity 21
  Selvale River: level 0.000, coarse 373024 HU, committed 0 HU, salinity 17
  Duna River: level 0.000, coarse 354080 HU, committed 0 HU, salinity 38
  Lorvale River: level 0.000, coarse 413216 HU, committed 0 HU, salinity 16
  Kelen River: level 0.000, coarse 373696 HU, committed 0 HU, salinity 17
  Isesh River: level 0.000, coarse 408416 HU, committed 0 HU, salinity 16
  Alen River: level 0.000, coarse 201440 HU, committed 0 HU, salinity 53
  Kelor River: level 0.000, coarse 370816 HU, committed 0 HU, salinity 17
  Varith River: level 0.000, coarse 341984 HU, committed 0 HU, salinity 38
  Galain River: level 0.000, coarse 357664 HU, committed 0 HU, salinity 21
  Kelia River: level 0.000, coarse 419008 HU, committed 0 HU, salinity 21
  Morun River: level 0.000, coarse 2213248 HU, committed 0 HU, salinity 19
  Coria River: level 0.000, coarse 131648 HU, committed 0 HU, salinity 64
  Baros River: level 0.000, coarse 454912 HU, committed 0 HU, salinity 21
  Alos River: level 0.000, coarse 119584 HU, committed 0 HU, salinity 96
  Selor River: level 0.000, coarse 205408 HU, committed 0 HU, salinity 21
  Selith River: level 0.000, coarse 118688 HU, committed 0 HU, salinity 96
  Norora River: level 0.000, coarse 109632 HU, committed 0 HU, salinity 61
  Alora River: level 0.000, coarse 122496 HU, committed 0 HU, salinity 22
  Haren River: level 0.000, coarse 115712 HU, committed 0 HU, salinity 77
  Orun River: level 0.000, coarse 109696 HU, committed 0 HU, salinity 77
  Galora River: level 0.000, coarse 305088 HU, committed 0 HU, salinity 23
  Galain River: level 0.000, coarse 187968 HU, committed 0 HU, salinity 22
  Lora River: level 0.000, coarse 15505728 HU, committed 0 HU, salinity 62
  Harain River: level 0.000, coarse 124448 HU, committed 0 HU, salinity 22
  Kelesh River: level 0.000, coarse 107296 HU, committed 0 HU, salinity 96
  Coreth River: level 0.000, coarse 5062624 HU, committed 0 HU, salinity 63
  Kelith River: level 0.000, coarse 108128 HU, committed 0 HU, salinity 96
  Kelia River: level 0.000, coarse 150560 HU, committed 0 HU, salinity 96
  Haren River: level 0.000, coarse 180864 HU, committed 0 HU, salinity 96
  Fenun River: level 0.000, coarse 126112 HU, committed 0 HU, salinity 69
  Baror River: level 0.000, coarse 121184 HU, committed 0 HU, salinity 69
  Isen River: level 0.000, coarse 202784 HU, committed 0 HU, salinity 22
  Kelith River: level 0.000, coarse 126592 HU, committed 0 HU, salinity 67
  Barin River: level 0.000, coarse 113024 HU, committed 0 HU, salinity 77
  Noryr River: level 0.000, coarse 126816 HU, committed 0 HU, salinity 67
  Barin River: level 0.000, coarse 972256 HU, committed 0 HU, salinity 63
  Noresh River: level 0.000, coarse 127584 HU, committed 0 HU, salinity 67
  Selin River: level 0.000, coarse 118656 HU, committed 0 HU, salinity 68
  Oren River: level 0.000, coarse 122784 HU, committed 0 HU, salinity 68
  Eshor River: level 0.000, coarse 128576 HU, committed 0 HU, salinity 21
  Barin River: level 0.000, coarse 123328 HU, committed 0 HU, salinity 69
  Esha River: level 0.000, coarse 116032 HU, committed 0 HU, salinity 69
  Corvale River: level 0.000, coarse 146592 HU, committed 0 HU, salinity 22
  Loror River: level 0.000, coarse 125472 HU, committed 0 HU, salinity 68
  Haren River: level 0.000, coarse 116064 HU, committed 0 HU, salinity 69
  Morith River: level 0.000, coarse 126080 HU, committed 0 HU, salinity 68
  Lorora River: level 0.000, coarse 128960 HU, committed 0 HU, salinity 67
  Varyr River: level 0.000, coarse 122912 HU, committed 0 HU, salinity 67
  Barun River: level 0.000, coarse 331392 HU, committed 0 HU, salinity 23
  Isyr River: level 0.000, coarse 144096 HU, committed 0 HU, salinity 21
  Isith River: level 0.000, coarse 185760 HU, committed 0 HU, salinity 21
  Galos River: level 0.000, coarse 171040 HU, committed 0 HU, salinity 22
  Morara River: level 0.000, coarse 130944 HU, committed 0 HU, salinity 67
  Oresh River: level 0.000, coarse 122400 HU, committed 0 HU, salinity 22
  Baryr River: level 0.000, coarse 123904 HU, committed 0 HU, salinity 22
  Alesh River: level 0.000, coarse 120992 HU, committed 0 HU, salinity 22
  Selin River: level 0.000, coarse 125344 HU, committed 0 HU, salinity 22
  Eshen River: level 0.000, coarse 3766656 HU, committed 0 HU, salinity 58
  Fenyr River: level 0.000, coarse 1095008 HU, committed 0 HU, salinity 28
  Orora River: level 0.000, coarse 6409600 HU, committed 0 HU, salinity 57
  Corain River: level 0.000, coarse 164384 HU, committed 0 HU, salinity 75
  Esheth River: level 0.000, coarse 2955136 HU, committed 0 HU, salinity 39
  Fenith River: level 0.000, coarse 183200 HU, committed 0 HU, salinity 21
  Bara River: level 0.000, coarse 119584 HU, committed 0 HU, salinity 68
  Barain River: level 0.000, coarse 120192 HU, committed 0 HU, salinity 67
  Dunin River: level 0.000, coarse 108640 HU, committed 0 HU, salinity 62
  Corvale River: level 0.000, coarse 121024 HU, committed 0 HU, salinity 67
  Ala River: level 0.000, coarse 109536 HU, committed 0 HU, salinity 61
  Noren River: level 0.000, coarse 121568 HU, committed 0 HU, salinity 67
  Alvale River: level 0.000, coarse 225920 HU, committed 0 HU, salinity 62
  Dunia River: level 0.000, coarse 110400 HU, committed 0 HU, salinity 61
  Kelos River: level 0.000, coarse 128256 HU, committed 0 HU, salinity 61
  Eshia River: level 0.000, coarse 111264 HU, committed 0 HU, salinity 61
  Haros River: level 0.000, coarse 131520 HU, committed 0 HU, salinity 61
  Corain River: level 0.000, coarse 116224 HU, committed 0 HU, salinity 61
  Harin River: level 0.000, coarse 138496 HU, committed 0 HU, salinity 60
  Alun River: level 0.000, coarse 127232 HU, committed 0 HU, salinity 61
  Eshora River: level 0.000, coarse 116000 HU, committed 0 HU, salinity 63
  Ormere River: level 0.000, coarse 134912 HU, committed 0 HU, salinity 66
  Alora River: level 0.000, coarse 125408 HU, committed 0 HU, salinity 62
  Barara River: level 0.000, coarse 134688 HU, committed 0 HU, salinity 61
  Isa River: level 0.000, coarse 127840 HU, committed 0 HU, salinity 64
  Coreth River: level 0.000, coarse 190272 HU, committed 0 HU, salinity 19
  Vareth River: level 0.000, coarse 140320 HU, committed 0 HU, salinity 17
  Baresh River: level 0.000, coarse 195552 HU, committed 0 HU, salinity 22
  Barora River: level 0.000, coarse 121888 HU, committed 0 HU, salinity 63
  Norora River: level 0.000, coarse 187008 HU, committed 0 HU, salinity 15
  Selora River: level 0.000, coarse 186080 HU, committed 0 HU, salinity 24
  Fenia River: level 0.000, coarse 130624 HU, committed 0 HU, salinity 66
  Morain River: level 0.000, coarse 191232 HU, committed 0 HU, salinity 22
  Orun River: level 0.000, coarse 121792 HU, committed 0 HU, salinity 66
  Dunmere River: level 0.000, coarse 208768 HU, committed 0 HU, salinity 21
  Eshen River: level 0.000, coarse 143648 HU, committed 0 HU, salinity 16
  Alvale River: level 0.000, coarse 364160 HU, committed 0 HU, salinity 22
  Kelin River: level 0.000, coarse 142464 HU, committed 0 HU, salinity 57
  Norara River: level 0.000, coarse 875552 HU, committed 0 HU, salinity 23
  Selara River: level 0.000, coarse 363456 HU, committed 0 HU, salinity 21
  Selos River: level 0.000, coarse 578336 HU, committed 0 HU, salinity 21
  Morvale River: level 0.000, coarse 1044256 HU, committed 0 HU, salinity 23
  Baren River: level 0.000, coarse 2063808 HU, committed 0 HU, salinity 23
  Fenia River: level 0.000, coarse 3402304 HU, committed 0 HU, salinity 55
  Lorvale River: level 0.000, coarse 1326432 HU, committed 0 HU, salinity 23
  Lormere River: level 0.000, coarse 517152 HU, committed 0 HU, salinity 23
  Dunia River: level 0.000, coarse 1469888 HU, committed 0 HU, salinity 23
  Eshyr River: level 0.000, coarse 1489152 HU, committed 0 HU, salinity 22
  Barain River: level 0.000, coarse 1051680 HU, committed 0 HU, salinity 22
  Hareth River: level 0.000, coarse 689760 HU, committed 0 HU, salinity 21
  Lora River: level 0.000, coarse 1342272 HU, committed 0 HU, salinity 23
  Fenesh River: level 0.000, coarse 1080256 HU, committed 0 HU, salinity 22
  Alen River: level 0.000, coarse 926688 HU, committed 0 HU, salinity 22
  Kelia River: level 0.000, coarse 845792 HU, committed 0 HU, salinity 22
  Harmere River: level 0.000, coarse 1340864 HU, committed 0 HU, salinity 23
  Haros River: level 0.000, coarse 9519968 HU, committed 0 HU, salinity 26
  Dunith River: level 0.000, coarse 441728 HU, committed 0 HU, salinity 22
  Loreth River: level 0.000, coarse 104224 HU, committed 0 HU, salinity 68
  Noresh River: level 0.000, coarse 1111136 HU, committed 0 HU, salinity 44
  Fenara River: level 0.000, coarse 534912 HU, committed 0 HU, salinity 24
  Isara River: level 0.000, coarse 12622560 HU, committed 0 HU, salinity 43
  Alin River: level 0.000, coarse 111488 HU, committed 0 HU, salinity 76
  Galia River: level 0.000, coarse 127648 HU, committed 0 HU, salinity 11
  Lora River: level 0.000, coarse 126400 HU, committed 0 HU, salinity 11
  Harin River: level 0.000, coarse 125632 HU, committed 0 HU, salinity 63
  Eshora River: level 0.000, coarse 181408 HU, committed 0 HU, salinity 11
  Kelmere River: level 0.000, coarse 179680 HU, committed 0 HU, salinity 21
  Mora River: level 0.000, coarse 140832 HU, committed 0 HU, salinity 67
  Isesh River: level 0.000, coarse 5242240 HU, committed 0 HU, salinity 31
  Galara River: level 0.000, coarse 1662208 HU, committed 0 HU, salinity 49
  Lorain River: level 0.000, coarse 352896 HU, committed 0 HU, salinity 13
  Kelin River: level 0.000, coarse 175936 HU, committed 0 HU, salinity 50
  Galun River: level 0.000, coarse 101312 HU, committed 0 HU, salinity 67
  Esheth River: level 0.000, coarse 89248 HU, committed 0 HU, salinity 63
  Isin River: level 0.000, coarse 122752 HU, committed 0 HU, salinity 96
  Dunain River: level 0.000, coarse 108864 HU, committed 0 HU, salinity 63
  Eshara River: level 0.000, coarse 209728 HU, committed 0 HU, salinity 71
  Noror River: level 0.000, coarse 116992 HU, committed 0 HU, salinity 62
  Galos River: level 0.000, coarse 114048 HU, committed 0 HU, salinity 66
  Isor River: level 0.000, coarse 108256 HU, committed 0 HU, salinity 67
  Varvale River: level 0.000, coarse 1211200 HU, committed 0 HU, salinity 56
  Noror River: level 0.000, coarse 116704 HU, committed 0 HU, salinity 66
  Selun River: level 0.000, coarse 108800 HU, committed 0 HU, salinity 66
  Barain River: level 0.000, coarse 103328 HU, committed 0 HU, salinity 66
  Loria River: level 0.000, coarse 120864 HU, committed 0 HU, salinity 62
  Coreth River: level 0.000, coarse 109216 HU, committed 0 HU, salinity 67
  Norun River: level 0.000, coarse 104992 HU, committed 0 HU, salinity 66
  Fenor River: level 0.000, coarse 118208 HU, committed 0 HU, salinity 62
  Vareth River: level 0.000, coarse 108064 HU, committed 0 HU, salinity 67
  Dunor River: level 0.000, coarse 104704 HU, committed 0 HU, salinity 66
  Fenain River: level 0.000, coarse 110720 HU, committed 0 HU, salinity 66
  Isin River: level 0.000, coarse 107296 HU, committed 0 HU, salinity 63
  Mora River: level 0.000, coarse 697856 HU, committed 0 HU, salinity 59
  Moreth River: level 0.000, coarse 304320 HU, committed 0 HU, salinity 69
  Corora River: level 0.000, coarse 1412064 HU, committed 0 HU, salinity 47
  Coresh River: level 0.000, coarse 907488 HU, committed 0 HU, salinity 12
  Varmere River: level 0.000, coarse 12565792 HU, committed 0 HU, salinity 19
  Alos River: level 0.000, coarse 2818656 HU, committed 0 HU, salinity 54
  Noror River: level 0.000, coarse 209024 HU, committed 0 HU, salinity 77
  Fenain River: level 0.000, coarse 8817920 HU, committed 0 HU, salinity 33
  Harvale River: level 0.000, coarse 1002976 HU, committed 0 HU, salinity 49
  Loria River: level 0.000, coarse 2328832 HU, committed 0 HU, salinity 26
  Lorith River: level 0.000, coarse 129728 HU, committed 0 HU, salinity 62
  Aleth River: level 0.000, coarse 5284960 HU, committed 0 HU, salinity 12
  Haros River: level 0.000, coarse 276416 HU, committed 0 HU, salinity 11
  Lorin River: level 0.000, coarse 1904960 HU, committed 0 HU, salinity 12
  Barvale River: level 0.000, coarse 822400 HU, committed 0 HU, salinity 11
  Haria River: level 0.000, coarse 765728 HU, committed 0 HU, salinity 12
  Loren River: level 0.000, coarse 307808 HU, committed 0 HU, salinity 22
  Kelith River: level 0.000, coarse 1139136 HU, committed 0 HU, salinity 11
  Galara River: level 0.000, coarse 170240 HU, committed 0 HU, salinity 11
  Corain River: level 0.000, coarse 7468448 HU, committed 0 HU, salinity 53
  Orin River: level 0.000, coarse 1497568 HU, committed 0 HU, salinity 57
  Dunos River: level 0.000, coarse 686752 HU, committed 0 HU, salinity 12
  Isain River: level 0.000, coarse 701056 HU, committed 0 HU, salinity 11
  Lorith River: level 0.000, coarse 650304 HU, committed 0 HU, salinity 11
  Selia River: level 0.000, coarse 333536 HU, committed 0 HU, salinity 11
  Noren River: level 0.000, coarse 154720 HU, committed 0 HU, salinity 22
  Bareth River: level 0.000, coarse 3140768 HU, committed 0 HU, salinity 44
  Keleth River: level 0.000, coarse 374496 HU, committed 0 HU, salinity 11
  Loros River: level 0.000, coarse 362272 HU, committed 0 HU, salinity 23
  Orin River: level 0.000, coarse 555520 HU, committed 0 HU, salinity 14
  Morvale River: level 0.000, coarse 299776 HU, committed 0 HU, salinity 14
  Varyr River: level 0.000, coarse 1478784 HU, committed 0 HU, salinity 13
  Kelesh River: level 0.000, coarse 279968 HU, committed 0 HU, salinity 11
  Corvale River: level 0.000, coarse 113152 HU, committed 0 HU, salinity 66
  Normere River: level 0.000, coarse 393728 HU, committed 0 HU, salinity 13
  Galen River: level 0.000, coarse 1242048 HU, committed 0 HU, salinity 11
  Harara River: level 0.000, coarse 359360 HU, committed 0 HU, salinity 13
  Norith River: level 0.000, coarse 487328 HU, committed 0 HU, salinity 11
  Dunesh River: level 0.000, coarse 599136 HU, committed 0 HU, salinity 16
  Isa River: level 0.000, coarse 139584 HU, committed 0 HU, salinity 14
  Selora River: level 0.000, coarse 468704 HU, committed 0 HU, salinity 65
  Galmere River: level 0.000, coarse 138560 HU, committed 0 HU, salinity 61
  Alvale River: level 0.000, coarse 129312 HU, committed 0 HU, salinity 66
  Kelmere River: level 0.000, coarse 184928 HU, committed 0 HU, salinity 12
  Selin River: level 0.000, coarse 220608 HU, committed 0 HU, salinity 12
  Orin River: level 0.000, coarse 177760 HU, committed 0 HU, salinity 12
  Dunia River: level 0.000, coarse 281280 HU, committed 0 HU, salinity 12
  Loren River: level 0.000, coarse 1069728 HU, committed 0 HU, salinity 11
  Eshora River: level 0.000, coarse 804416 HU, committed 0 HU, salinity 19
  Oros River: level 0.000, coarse 956544 HU, committed 0 HU, salinity 48
  Harin River: level 0.000, coarse 289408 HU, committed 0 HU, salinity 11
  Isin River: level 0.000, coarse 136768 HU, committed 0 HU, salinity 11
  Kelesh River: level 0.000, coarse 381568 HU, committed 0 HU, salinity 12
  Varvale River: level 0.000, coarse 228832 HU, committed 0 HU, salinity 12
  Cormere River: level 0.000, coarse 336512 HU, committed 0 HU, salinity 12
  Orara River: level 0.000, coarse 339040 HU, committed 0 HU, salinity 12
  Fenesh River: level 0.000, coarse 445824 HU, committed 0 HU, salinity 12
  Moresh River: level 0.000, coarse 128832 HU, committed 0 HU, salinity 71
  Eshin River: level 0.000, coarse 632672 HU, committed 0 HU, salinity 12
  Norvale River: level 0.000, coarse 820704 HU, committed 0 HU, salinity 10
  Isara River: level 0.000, coarse 396672 HU, committed 0 HU, salinity 12
  Harmere River: level 0.000, coarse 219456 HU, committed 0 HU, salinity 12
  Morith River: level 0.000, coarse 2588000 HU, committed 0 HU, salinity 37
  Kelvale River: level 0.000, coarse 209088 HU, committed 0 HU, salinity 12
  Oryr River: level 0.000, coarse 145984 HU, committed 0 HU, salinity 9
  Norin River: level 0.000, coarse 150432 HU, committed 0 HU, salinity 21
  Alith River: level 0.000, coarse 1144768 HU, committed 0 HU, salinity 61
  Varen River: level 0.000, coarse 179488 HU, committed 0 HU, salinity 11
  Alin River: level 0.000, coarse 288768 HU, committed 0 HU, salinity 9
  Bara River: level 0.000, coarse 718496 HU, committed 0 HU, salinity 25
  Moror River: level 0.000, coarse 200160 HU, committed 0 HU, salinity 12
  Kelyr River: level 0.000, coarse 181440 HU, committed 0 HU, salinity 17
  Gala River: level 0.000, coarse 138016 HU, committed 0 HU, salinity 11
  Fenora River: level 0.000, coarse 201440 HU, committed 0 HU, salinity 12
  Oror River: level 0.000, coarse 120768 HU, committed 0 HU, salinity 69
  Galvale River: level 0.000, coarse 139328 HU, committed 0 HU, salinity 11
  Noros River: level 0.000, coarse 200704 HU, committed 0 HU, salinity 12
  Lorara River: level 0.000, coarse 142432 HU, committed 0 HU, salinity 9
  Dunyr River: level 0.000, coarse 206208 HU, committed 0 HU, salinity 12
  Dunun River: level 0.000, coarse 230976 HU, committed 0 HU, salinity 12
  Dunia River: level 0.000, coarse 147072 HU, committed 0 HU, salinity 8
  Esha River: level 0.000, coarse 122464 HU, committed 0 HU, salinity 65
  Eshor River: level 0.000, coarse 142976 HU, committed 0 HU, salinity 8
  Ormere River: level 0.000, coarse 185824 HU, committed 0 HU, salinity 11
  Moria River: level 0.000, coarse 116832 HU, committed 0 HU, salinity 65
  Duneth River: level 0.000, coarse 135776 HU, committed 0 HU, salinity 9
  Barin River: level 0.000, coarse 158880 HU, committed 0 HU, salinity 12
  Baresh River: level 0.000, coarse 191744 HU, committed 0 HU, salinity 10
  Barun River: level 0.000, coarse 122976 HU, committed 0 HU, salinity 12
  Galin River: level 0.000, coarse 188672 HU, committed 0 HU, salinity 10
  Morvale River: level 0.000, coarse 127424 HU, committed 0 HU, salinity 12
  Ala River: level 0.000, coarse 122368 HU, committed 0 HU, salinity 63
  Loresh River: level 0.000, coarse 140448 HU, committed 0 HU, salinity 11
  Dunara River: level 0.000, coarse 123456 HU, committed 0 HU, salinity 63
  Eshora River: level 0.000, coarse 142368 HU, committed 0 HU, salinity 11
  Eshyr River: level 0.000, coarse 128064 HU, committed 0 HU, salinity 62
  Kelin River: level 0.000, coarse 148416 HU, committed 0 HU, salinity 11
  Barora River: level 0.000, coarse 8923680 HU, committed 0 HU, salinity 44
  Loros River: level 0.000, coarse 146080 HU, committed 0 HU, salinity 12
  Moros River: level 0.000, coarse 130976 HU, committed 0 HU, salinity 64
  Orvale River: level 0.000, coarse 131456 HU, committed 0 HU, salinity 64
  Mora River: level 0.000, coarse 141984 HU, committed 0 HU, salinity 11
  Lorith River: level 0.000, coarse 114784 HU, committed 0 HU, salinity 63
  Baros River: level 0.000, coarse 135392 HU, committed 0 HU, salinity 11
  Loros River: level 0.000, coarse 261568 HU, committed 0 HU, salinity 13
  Esheth River: level 0.000, coarse 120704 HU, committed 0 HU, salinity 63
  Selia River: level 0.000, coarse 144704 HU, committed 0 HU, salinity 11
  Galmere River: level 0.000, coarse 132704 HU, committed 0 HU, salinity 63
  Selor River: level 0.000, coarse 122176 HU, committed 0 HU, salinity 67
  Norain River: level 0.000, coarse 188480 HU, committed 0 HU, salinity 19
  Fenora River: level 0.000, coarse 136864 HU, committed 0 HU, salinity 11
  Morun River: level 0.000, coarse 126880 HU, committed 0 HU, salinity 68
  Galith River: level 0.000, coarse 325440 HU, committed 0 HU, salinity 12
  Noros River: level 0.000, coarse 121632 HU, committed 0 HU, salinity 64
  Norin River: level 0.000, coarse 121472 HU, committed 0 HU, salinity 64
  Haryr River: level 0.000, coarse 287808 HU, committed 0 HU, salinity 44
  Coror River: level 0.000, coarse 120992 HU, committed 0 HU, salinity 64
  Varen River: level 0.000, coarse 130208 HU, committed 0 HU, salinity 64
  Galyr River: level 0.000, coarse 121152 HU, committed 0 HU, salinity 64
  Oros River: level 0.000, coarse 124768 HU, committed 0 HU, salinity 64
